"tran.v(volt)";"r ngspice/tran.i(vamp)@tran.v(volt)";"i ngspice/tran.i(vamp)@tran.v(volt)"
0.650618;0.000933295;0
0.644241;0.000804216;0
0.636907;0.000677601;0
0.628319;0.00055437;0
0.618041;0.000435871;0
0.605405;0.000324153;0
0.589278;0.000222668;0
0.568182;0.000135928;0
0.540017;7.03103e-05;0
0.503454;2.98708e-05;0
0.459778;1.07411e-05;0
0.412099;3.51715e-06;0
0.362766;1.10756e-06;0
0.312832;3.45144e-07;0
0.262675;1.07159e-07;0
0.212422;3.35237e-08;0
0.162119;1.02544e-08;0
0.111785;3.01284e-09;0
0.0614319;2.07581e-10;0
0.0110684;-7.38379e-10;0
-0.039297;-1.61052e-09;0
-0.0896562;-1.96484e-09;0
-0.140001;-2.65711e-09;0
-0.190324;-2.95713e-09;0
-0.240617;-3.63421e-09;0
-0.290871;-3.93137e-09;0
-0.34108;-4.6082e-09;0
-0.391234;-4.90557e-09;0
-0.441326;-5.58252e-09;0
-0.491348;-5.87982e-09;0
-0.541293;-6.55643e-09;0
-0.591151;-6.85315e-09;0
-0.640916;-7.52892e-09;0
-0.69058;-7.82457e-09;0
-0.740133;-8.499e-09;0
-0.78957;-8.79312e-09;0
-0.838881;-9.46578e-09;0
-0.888059;-9.75792e-09;0
-0.937096;-1.04284e-08;0
-0.985985;-1.07181e-08;0
-1.03472;-1.1386e-08;0
-1.08329;-1.1673e-08;0
-1.13168;-1.23379e-08;0
-1.1799;-1.26218e-08;0
-1.22793;-1.32833e-08;0
-1.27577;-1.35637e-08;0
-1.3234;-1.42215e-08;0
-1.37082;-1.4498e-08;0
-1.41803;-1.51518e-08;0
-1.46501;-1.54241e-08;0
-1.51176;-1.60736e-08;0
-1.55827;-1.63414e-08;0
-1.60453;-1.69862e-08;0
-1.65054;-1.72491e-08;0
-1.69629;-1.78889e-08;0
-1.74176;-1.81466e-08;0
-1.78696;-1.87811e-08;0
-1.83188;-1.90334e-08;0
-1.87651;-1.96622e-08;0
-1.92084;-1.99087e-08;0
-1.96486;-2.05316e-08;0
-2.00858;-2.07721e-08;0
-2.05197;-2.13888e-08;0
-2.09504;-2.16229e-08;0
-2.13778;-2.2233e-08;0
-2.18018;-2.24605e-08;0
-2.22223;-2.30639e-08;0
-2.26393;-2.32845e-08;0
-2.30528;-2.38808e-08;0
-2.34625;-2.40942e-08;0
-2.38686;-2.46831e-08;0
-2.42708;-2.4889e-08;0
-2.46692;-2.54704e-08;0
-2.50637;-2.56686e-08;0
-2.54543;-2.62421e-08;0
-2.58408;-2.64323e-08;0
-2.62232;-2.69977e-08;0
-2.66014;-2.71797e-08;0
-2.69754;-2.77367e-08;0
-2.73452;-2.79103e-08;0
-2.77106;-2.84587e-08;0
-2.80716;-2.86235e-08;0
-2.84282;-2.91631e-08;0
-2.87802;-2.93189e-08;0
-2.91277;-2.98495e-08;0
-2.94706;-2.99962e-08;0
-2.98088;-3.05174e-08;0
-3.01423;-3.06547e-08;0
-3.0471;-3.11664e-08;0
-3.07948;-3.12942e-08;0
-3.11138;-3.17962e-08;0
-3.14279;-3.19141e-08;0
-3.17369;-3.24061e-08;0
-3.2041;-3.25141e-08;0
-3.23399;-3.2996e-08;0
-3.26338;-3.30937e-08;0
-3.29224;-3.35654e-08;0
-3.32059;-3.36527e-08;0
-3.3484;-3.41138e-08;0
-3.37569;-3.41906e-08;0
-3.40244;-3.46411e-08;0
-3.42865;-3.4707e-08;0
-3.45432;-3.51467e-08;0
-3.47944;-3.52018e-08;0
-3.50401;-3.56304e-08;0
-3.52802;-3.56744e-08;0
-3.55148;-3.60919e-08;0
-3.57437;-3.61247e-08;0
-3.59669;-3.65308e-08;0
-3.61845;-3.65522e-08;0
-3.63963;-3.69469e-08;0
-3.66023;-3.69568e-08;0
-3.68025;-3.73399e-08;0
-3.69969;-3.73382e-08;0
-3.71854;-3.77096e-08;0
-3.73681;-3.76961e-08;0
-3.75448;-3.80556e-08;0
-3.77155;-3.80303e-08;0
-3.78803;-3.83779e-08;0
-3.80391;-3.83405e-08;0
-3.81918;-3.86761e-08;0
-3.83385;-3.86266e-08;0
-3.84791;-3.895e-08;0
-3.86136;-3.88884e-08;0
-3.8742;-3.91996e-08;0
-3.88642;-3.91257e-08;0
-3.89803;-3.94245e-08;0
-3.90902;-3.93383e-08;0
-3.91939;-3.96248e-08;0
-3.92914;-3.95261e-08;0
-3.93826;-3.98002e-08;0
-3.94677;-3.9689e-08;0
-3.95464;-3.99505e-08;0
-3.96189;-3.98269e-08;0
-3.96851;-4.00758e-08;0
-3.9745;-3.99396e-08;0
-3.97986;-4.01759e-08;0
-3.98459;-4.00271e-08;0
-3.98869;-4.02508e-08;0
-3.99216;-4.00893e-08;0
-3.99499;-4.03004e-08;0
-3.99719;-4.01262e-08;0
-3.99876;-4.03246e-08;0
-3.99969;-4.01378e-08;0
-3.99999;-4.03235e-08;0
-3.99965;-4.0124e-08;0
-3.99868;-4.0297e-08;0
-3.99708;-4.00848e-08;0
-3.99484;-4.02451e-08;0
-3.99197;-4.00203e-08;0
-3.98846;-4.01679e-08;0
-3.98432;-3.99304e-08;0
-3.97956;-4.00654e-08;0
-3.97416;-3.98153e-08;0
-3.96813;-3.99377e-08;0
-3.96147;-3.9675e-08;0
-3.95418;-3.97849e-08;0
-3.94627;-3.95096e-08;0
-3.93773;-3.96069e-08;0
-3.92856;-3.93192e-08;0
-3.91878;-3.9404e-08;0
-3.90837;-3.91038e-08;0
-3.89734;-3.91762e-08;0
-3.8857;-3.88637e-08;0
-3.87344;-3.89238e-08;0
-3.86056;-3.85989e-08;0
-3.84707;-3.86467e-08;0
-3.83298;-3.83097e-08;0
-3.81827;-3.83453e-08;0
-3.80296;-3.79962e-08;0
-3.78705;-3.80197e-08;0
-3.77053;-3.76585e-08;0
-3.75342;-3.76701e-08;0
-3.73571;-3.7297e-08;0
-3.71742;-3.72967e-08;0
-3.69853;-3.69118e-08;0
-3.67905;-3.68997e-08;0
-3.65899;-3.65031e-08;0
-3.63836;-3.64794e-08;0
-3.61714;-3.60713e-08;0
-3.59535;-3.60361e-08;0
-3.57299;-3.56165e-08;0
-3.55007;-3.55699e-08;0
-3.52658;-3.51391e-08;0
-3.50253;-3.50813e-08;0
-3.47793;-3.46393e-08;0
-3.45278;-3.45704e-08;0
-3.42708;-3.41175e-08;0
-3.40083;-3.40377e-08;0
-3.37405;-3.35739e-08;0
-3.34673;-3.34834e-08;0
-3.31888;-3.3009e-08;0
-3.2905;-3.29079e-08;0
-3.26161;-3.2423e-08;0
-3.23219;-3.23115e-08;0
-3.20227;-3.18164e-08;0
-3.17183;-3.16947e-08;0
-3.14089;-3.11894e-08;0
-3.10946;-3.10577e-08;0
-3.07753;-3.05425e-08;0
-3.04511;-3.0401e-08;0
-3.01221;-2.98761e-08;0
-2.97884;-2.9725e-08;0
-2.94499;-2.91906e-08;0
-2.91067;-2.90301e-08;0
-2.8759;-2.84864e-08;0
-2.84066;-2.83166e-08;0
-2.80498;-2.77639e-08;0
-2.76885;-2.75852e-08;0
-2.73228;-2.70236e-08;0
-2.69528;-2.68362e-08;0
-2.65786;-2.6266e-08;0
-2.62001;-2.607e-08;0
-2.58174;-2.54914e-08;0
-2.54307;-2.52872e-08;0
-2.50399;-2.47005e-08;0
-2.46452;-2.44882e-08;0
-2.42465;-2.38936e-08;0
-2.3844;-2.36735e-08;0
-2.34377;-2.30712e-08;0
-2.30278;-2.28436e-08;0
-2.26141;-2.22339e-08;0
-2.21969;-2.1999e-08;0
-2.17761;-2.13822e-08;0
-2.1352;-2.11402e-08;0
-2.09244;-2.05165e-08;0
-2.04935;-2.02678e-08;0
-2.00593;-1.96374e-08;0
-1.9622;-1.93821e-08;0
-1.91816;-1.87454e-08;0
-1.87381;-1.84839e-08;0
-1.82916;-1.78411e-08;0
-1.78423;-1.75736e-08;0
-1.73901;-1.69249e-08;0
-1.69351;-1.66517e-08;0
-1.64775;-1.59974e-08;0
-1.60173;-1.57188e-08;0
-1.55545;-1.50592e-08;0
-1.50893;-1.47754e-08;0
-1.46216;-1.41108e-08;0
-1.41517;-1.38221e-08;0
-1.36795;-1.31527e-08;0
-1.32051;-1.28594e-08;0
-1.27287;-1.21855e-08;0
-1.22502;-1.18877e-08;0
-1.17698;-1.12096e-08;0
-1.12875;-1.09078e-08;0
-1.08034;-1.02257e-08;0
-1.03176;-9.9199e-09;0
-0.983021;-9.23407e-09;0
-0.934123;-8.92468e-09;0
-0.885076;-8.23535e-09;0
-0.83589;-7.92255e-09;0
-0.786571;-7.22994e-09;0
-0.737127;-6.91395e-09;0
-0.687566;-6.21825e-09;0
-0.637897;-5.89925e-09;0
-0.588126;-5.20064e-09;0
-0.538262;-4.87878e-09;0
-0.488313;-4.17738e-09;0
-0.438286;-3.85274e-09;0
-0.38819;-3.14858e-09;0
-0.338032;-2.82112e-09;0
-0.287821;-2.11401e-09;0
-0.237563;-1.78325e-09;0
-0.187269;-1.07189e-09;0
-0.136944;-7.33363e-10;0
-0.0865983;-2.86882e-13;0
-0.0362385;4.02753e-10;0
-3.62987e-07;1.09996e-09;0
